DW_TEMPO;Ano;Mês;Dia
fab7fb5c28f718437e5af70567c9bf2510c18d0b9bf7c9e97bc6953d7d303fd1;2018;12;10
81d4959ac0058ce6bf0347e88d877946581f8a465a1c6423f5fd854e3b1f3860;2017;09;14
2af1032a24a3b335cf3702ffeaaa5b58a0dd70ef8a8d073a9a77ecec417a58d1;2017;10;25
ab6027e8dd258452cdfbc82338466a33180cb0575c6d5664cb5f7e4f11f71297;2018;11;11
59510bc2973f374323a11e6ea972d7f8a0d64c3326d379d080a4091ec19435ab;2018;02;13
a5854e15a638b62c17cae6e89bd416b4cb773b6475143f4dba349bd5845f13f2;2019;03;05
8a4892633adee3577ec48570cc2a5532c98a22301795ac6338ffcebdf00cf0d6;2017;11;17
7f1c00cd517cea8007ff91128c61fc582a91c9bbfd3a59777db306ccc0693b0d;2018;12;11
1618618583472dc756efb0c09fe3c0235df181a3737b693063d8049045557822;2017;10;08
33fc8486125f0fb4e93469fd021007d0c9c849c4280a55a00d7f31f6ab97ef4c;2018;01;30
75f9a863fc0000c44e818c3a9722b32bd221f3843fbd84beab12e03a85c4edab;2017;02;03
250d7d0d356fd5273b52a21b9edd172e0415d31d4b61188a10effb59f2a9d3d5;2017;07;14
d940e7041d2a5fde9b24866f2dcf584996d2cbc0142cacc9de2a410a8143972e;2018;01;07
d394013ae7430bd8fd140da1901c07790420dd10bc5ec1121e232a8b47d8e268;2018;06;25
ea92e1e92c393cf0d45ebe525e4a8da3b5973f1036ce70c6be9bbce7aeae1fe8;2017;09;16
f60ce31fb63640af423be47ebaf76b88de908dec20c9a7dcbc7502f4f37fbb40;2018;07;10
ede04fbfeb90f5af6e8f5d281c26d1020b0904af64694cd8174653c4682287d4;2017;03;25
d3d6f4a25c2016657c5f9b0b3290da79bcd5d6bc4646f7015f4b3104376cfe1c;2018;01;21
115900bae6cbe937179270c8efa1eb99267424e8e3fd18021887663368803d6b;2018;05;07
5b9bd4ba2197c8408cb8743f21d49882032f6046b45ac800b3cb31833dd830eb;2018;10;14
0ebe7772a232236a8993d9f4f9672abd3b5a069f073fa84e60efea75324a972b;2017;02;26
2ee058a6e78801963654483d1e10358aaf5e4b861b86386479d276368239ed45;2017;12;13
44ad0db43c3893d0834218e7e2c0f895f1858fff118c794b60e6285be29e81a3;2018;03;25
faa2af15800489731e48f459c061bb6d3ad7449f0c91e9124c6f7731df904a80;2017;08;04
34a1e3b90dcd5a92d19f5c87265bb3cb2e3b5cc9be2d46153a20315d61d9fe91;2017;01;20
ed7b98e349017d81e250223e9e80c9b66e286a57d0c098e786008fa5bfcd8680;2019;02;07
358ce9320c3e57cdb359465fd6986bdd30c74055a2eeb9ed58ad94cb99cd9314;2017;04;23
34c4067a117c380277d098dc1d0b9f95e5b1de3b5aa4868ea1653c031881bc47;2017;10;04
19148d31480ac68e0d26534d3a9402f85904794a8f92149e8b759623d213a758;2017;12;14
71e863da15a548d8f1e48ccd42355e5108e3eabacaef9c872b19c3dcbc5ae7b0;2018;09;05
301f11780935fa20bfe092d1a263141d6afc98f1fdcff6344cd1f08b15ef8890;2018;01;28
e23086bf9fb3ae478dccd6183b73d051057c4ed6acfdc329e4ab0c76f096124c;2017;08;02
9f8e4144062c92639c1dcaf8ffcba126b2120ff1fe9f9ee1834f4da3bd420584;2017;03;31
1a97432afa3621e646637b27a67065d8a62903379f9b2d6f4dd4746d3d62fff0;2019;01;13
6e57a31d4e7ebf917968871de6673fb56916d218825ed0d2145458c9d79f03ad;2019;01;22
36a1dc01ac0923604ef4b7364f271be5e12f0cb8915cb22a4863d17337475291;2018;04;02
2bc53c1d05f972bedf2d8b8e630ef1e99d49d8012250bd78b37ea8b7b5586941;2017;02;16
ea3a93b8de63fddc81ba02d541adad7d5f377cfff9dbb43b4d28ed578a243be3;2018;09;19
1fd4c6e8a72a92176b30ce983d42ce58af361680821c84e0e3e89ce2e3446238;2018;06;07
43d2d34e309a206648778bdf32544fa9d82f6e5c2cc60b71ccbc1fed496b9205;2017;08;09
eab3d70508f0fbffd07102e018260b29508d3598bbfa440b6a136c4dbb279a0c;2017;07;05
f38538e459f92b18ec41e07176b4a6caa60692b0315c99204f7c2f88b64d106f;2017;09;23
fb86b2f4aa53a96025c73fc05344ee16a13e9124b7454adfd6732f365f7341ca;2018;02;06
fa0d73ffa344e607bde388481eed5183ff9ef7cac06dfb922c3990935462660f;2017;09;15
41d6769b79b5806b644ad10a6dfac13c63094b4aa12a792a9d40cdb3879a039c;2018;01;31
15b309a27add9cbf7211c915d18f6cb3e961f22c7f3158cb8f8f9821435b3b0c;2017;12;23
828ca45fe63c6b46ce463d32939b8c1eb49ce1292142d94647d3a48989672036;2017;07;03
1ecb01bd4cd356ccfdcbc3405282aa0cdad8275437f295133c0ca659e3a94a28;2018;12;26
c2f20a535a307541e7c7505ead8aad68518ab62fd3b5698946fe7fce68ffa31f;2017;07;12
b22f8ea8b9ad7ebabe646ee8699855e96aa9ed60848c735d24891a1c9246197f;2017;06;16
0657ee8890c1549319c7c50341b7f7ec28454ada9ca8d8538af9b8b5b0889cc5;2017;09;29
1a98e28a39cef14614824f234b4ffef26df72aa75e7f04106849c2d588c071f1;2018;11;28
c76c8c8251958e2b9a4080712cde7fa8b34f9718e92c0d199cd164a556f8a2da;2017;01;19
e557299a8d7430caac03ac43ca462a8c4338206ac66b38298adc52db95da2e33;2018;07;23
5ebd9aea4f11bcafae4fab3b47a57dedc0aa6d65e99f3802b8cf929607ee7ef7;2018;11;05
b8b465c7ee81f28c859464887907d127e7ce492641e5cda5ac1570c5e5040c55;2017;05;28
90d3b36351299caba1ccda707a876ed2232d871ba1baa657e3d50e687c75e07c;2018;10;07
a28f6ddc8b53d29507afb5b677d86ecd79242ec694429143fe12fd74c87e0ad5;2018;05;14
0464fce9377149a1e02e317f97455d62e3840112db7713fc2dfe8954a2ea67b7;2017;06;18
ccc7ec132a5d477840a989fef8aae0c28b5d6936373125e8f5185be6aefc74e9;2018;06;11
22be7ad61c79b99bbf47c46243ab75fa8d167a83c99fddae7b9ed3c8dcfbf4f2;2018;10;09
c8935efaa99b4e70609a6688d767502f1b29f0a352f95824ea67bf4885d4aeb6;2018;06;13
0ad0185a7b95d9085dbcf16a3efd1691ee84a36c76151f3ae2d61135d5fd1fd6;2018;05;12
933f694944a30f9dbfabd5533ae79b63b007a7c1fb1f6e5a12f837ddcb68def7;2017;04;13
9a6dced50a7d7d98e10443280c3982f76502fc0ee9a161fe476b8681db6c06b5;2018;12;05
1edf86947ef29909b22f31bca25cff2e2ebae9c0a1b487f5fb12ec6f8d884403;2017;02;19
538665d2a49cab301152105c3069dfb153afba0aae9996c87911a6a61308fd14;2018;02;21
25ffc1d8493ff0b79aec907a416e8bdd7c163e3ce0bc9a01967720581a26ee73;2018;08;19
b9c7a8882084012f701f03873d63d69e9c0eafc4455be706cfb149269df0282e;2019;02;04
03df78ebb512080e0437bafe24bc32bed50590347a88f83dd3079b38b2cc0a1e;2017;02;02
55658456e9ef92ee233e049de120e4256c70195764c1081bfe0f57655cd32e79;2018;06;23
6b68181e1af2c9047de5829f0c8444f353134aaf7c939b804eaed7ca0c3ec87d;2018;10;17
0bfbf151927ffea9f09d1a48a26fa84a2350003918bae31ed89771196f3cc991;2018;07;14
3265242d2e6702f142e2f2ee0d40cd042aeee6ce4552e4192c266c206e1da60b;2017;09;06
42e53264cf1ab783df5f065e137c07a34b0316bf0fdcc4622c661297d5122465;2018;02;14
a9a31560fbe2246e40d6bf2ccb9032a9ceb95704542c107fd159fd92381f0d67;2017;07;07
b62756f8c9c50ebabd1c46d1ae0e9b3e556c6637c3419e01caf4664cd1dc6265;2018;08;18
4f823c6915f5544e8d93f608d03a7d67e684f04db92c4014a300ec15dc377927;2018;09;03
d01a87f16e91b16c5069769ac56efec877a1ae7c6d87f6ba1fe3eadde2f1cb0e;2018;05;15
d0fbce5095904f48fd416a7b2f2ad6e76e014d178f4c547e72887006d0ade5af;2018;12;19
1f559d3fcf699aba97c601b31378af5182361053f8fd58f1a2fc67c6dc2dbe6f;2019;03;21
096e7df44c307e8eab8e70f4835b093982c2568d7525eafacaf0270bbb3d3e3b;2017;11;15
ee9dd07c4a5bc8e07fcae800240af058e3b3f3ba73c64acc78e03650c6a07bcc;2018;05;30
6460b42420fcf742cb7113a0b9283621e11c6a0b866a07c99c04feb02dabfd3a;2017;08;27
0db809a73749950471ecd161bb666babcd0d5bff602f9550a7f8ef61e171aaed;2018;07;29
c9263a9d2d2138821a26a4e3cce3f15e236ec3386e8d450e5bff9e95381cedcc;2017;09;01
3cf8e0731f3826d43a82354c7b1b95fc53db6a8facd4ad1566c9da56dbff88fb;2019;03;06
992bda93b9ca85255d635956517474c608ab0d280f2e74903964f13e84bacbec;2019;02;19
3de3968173f69b94a1911ba41c381c6aa35164f645c94ca6398e0b9def5a991d;2018;06;03
7dfe274deab5101df0def9362763c079f9b02bec1c151cd3897dbe1245a3b8f2;2017;04;01
af62ea9b58ac8bc73ea69a0e35ede319540b317f5b3ccec4ac73a33ec6cf0562;2017;01;26
781f7c826c7493bcdda87020c2f0d83d9f93719b7980647e64c584a83f3c8632;2017;08;31
e7939cc041939adb5090750d7c3d594f5154a802c0dc109d39b05d94abd5d32a;2019;01;15
5cccbaf0cfb2c0b50923f01360574eea418d071680ff98ee0c9f04adc32b0b7b;2017;01;21
65d1f9d16564c9c06f4c78abf699ad5cb7d92c7ea6acd8ae1c8cd903088354d5;2019;02;10
d4f5fe5b0c338b24d7f86d961742af83f02f0aeea0fecc99c87c5e69c156b7e0;2018;05;28
55ac421bd4c0a4a76479ab98c21908695a309d38387dad362e74b1bbfc3f6614;2017;03;03
1ea98b879d6434e4bff13669aa2aa691f17b464466d607e10385c6740bea1b0a;2017;07;01
5d3ea087d52ed3bcb1382d7c9e9994b2772e4369f6be8f9759ce5ca45d6149a9;2017;12;15
cd147ac540cda4e054fccb635d4fc71e9df4fd92e45c4611cb98029a4f957708;2017;11;12
b647f47c9853dcbbea9cd0b10148eb9d28da76d2564fe8ce9f6127699ba3542f;2018;01;18
95c258bb7aa61225341c0f16e0a33758384e51987d804d5a71ab77ba2699be91;2019;01;16
387dec00be103743909be949cfa46f79eca1a87d53526908796329e4ab949b43;2018;03;13
f3b1fb210f02358e1a7eff84b9b5dfee0b735c6816f76baae151c7a2cd177611;2017;11;11
68fd5d9f8f19a367af5045baf8fd7f68c19b423957e34dc83b07a91cdebcf423;2017;06;09
0c761dfe6bf0c64faec6f7d23d13b98bc083a55d4949cb28a546ca2c614ac5a1;2017;06;24
2dc0f2e7490c8c5b0b48dba25f959106a4507fd8547c459d6d8d3fbf4cd548c5;2018;02;08
2e935cfc295fcbdcbed0f4708d3759d28d669963ce321210c733507fd31fdbf1;2017;05;07
9544a628af940d8333f9777818cb25ecd35d57ae827a5205d22dc2a9dc8786d5;2018;10;24
a1453393acf3cf457398470a96adf0b37dc040da3427a73de45e5bc50f8a0b1c;2017;03;19
721b9c7e3035c0677c0fca8b058d2b9ee4507488302f8c4fe54708a62df2f0a9;2019;03;13
d50c80ebf314f0cca8a59b000f35d065360ebc85be379e2d16d08536fe480841;2018;04;08
cff0ff31d46cb43cca368c6536feff1075c9b2c2ac86e0528bfa760cc4f88f6a;2017;02;12
c783ace7993cc431de92c46d54d7dc6fa0b5b17a0702fb46df758e292a7f6c6f;2019;02;14
5a4b5a65de5fc9a88f83c42198252d15a5675d9bfd2bc71af178d04aeff9523b;2017;05;14
2b78a9ba056bb2e7852cc2b856a9669f622a24903618d0fde25a6a94e5e5d095;2018;08;11
40f52f17fc0a4d43a2d99c92ce1a0a585548124ba0d4113c184bee23373f8bc5;2018;09;26
88ce0979d093e3d96e1052f2c0ccdeaf1853f6a55530c3766d5a8498c1e00e28;2017;07;30
bda23a85e06599d8db98aa2533d4cba0befc1eaf569f8e7bbae62509abcf4200;2017;06;14
dadcc501049f0bb68a7f6722e63a1ddc0ee8432a5caa325d2e7ad8607d6d0ebe;2017;11;30
fd76fb7ae486f47b4d0716e51f7b3cb659c184a9daf49b98f8f982bffdb8bad0;2018;05;06
c8cd5bab6feaa9fab9368d7af4f4ce2d845467b8db14b5d122ca64fcb6f33b92;2017;10;01
0522c02a067c3b7eeb8b3d536b71307fafc1ec73288c30f32110fea6355953fb;2017;03;22
a7fdbdc1c05742b68a947952660262b6605ead7e12c4cfa25d693b9cd7d49e7f;2018;04;28
bfac05834b1ecd1e822b5a5645fc0f6ace549225a9d559b1ba3fbc01541fd710;2018;06;17
84f7b25dc26dbd27397f44146ce5a9e70afd5b006ddcc1a1554fb9e253c3e8ce;2017;04;29
60604e73da209daf14dde0b809ead3392dd246f102c12dfcb873f0a5ab879069;2017;11;08
9df2f493fe80d5643e71455325b70d932125b484e974cfcad8a5d967b22047df;2017;01;29
cdf4cc6864dffaf23be084cc000ae00cd7b1a47d320015231b8bd70787562b4d;2017;08;19
cfcc9a8ddd5b28c71f5ae9a36cc956dd3cc66f41476540566710b08762316686;2018;04;09
b325566462544268d2b991d14e2c2a41a342461d29e10f556dc0f20c1383d492;2018;07;22
310f69fa977a36ec358b3fd69808a8cb44a60b9af5a27760bc64509749b4bda5;2018;07;08
8639588f7c528c3574d3511837f3d2857d2bf22d0b3e67e81464156571c477e5;2018;04;25
3ff336de2187b85ceca076b95af752f6a46bbf471a9a3ff87cb34bac99b61902;2018;12;03
0df7fd8faf30eb27fc1073ef093e368a9f2d9a12dd392da1140fe20361fb6d10;2017;06;28
301604f2d30dc2e339788feeac000b3869882419e2b0cf8bb616147002c0d8ad;2017;08;16
5da5e748a4ea839921aeb570f231a2806308f5b1fee1bf86a710a7e048836fbf;2019;01;21
6edcdd4e90aefecaaeca14e22700305f044bb28803048b63ea4f7e711a3945a1;2019;02;21
8d087cb93d532493e6f2c3a2718fc2e2e44bf77c469b316db46bf21fc4f72007;2018;06;28
f139b0f85bc84fba67e21c1ada98759c2552f66b09d83c67f57eb77b1a57c3a7;2018;01;14
18b5002eba13f0a82625a41a4454457e4cf15a06ceb6c672f1956ca055532816;2017;03;18
9b379e74e9b4c6d225218804d097c86a6575be8307220c32c0673056d9db845f;2019;02;26
9320c9bcdd96a756e550773e3d700742f11258483cfae184462584cf20ec63a9;2017;07;08
2cc1694c1e0c4bac8efe7e9b8cd2a461eaa97cad1785b6f3a1f0c13492fa938e;2017;10;15
480897fe2966c422911c162f964b081cc7bcf7e76e36ad870553768d9819772f;2017;05;04
0b45367cda8e733b4a8df3a2ad5bbcfc3680564754b57711575ca775eed932c3;2017;02;17
864176d967e443d248c38c8e7bc4601d0366fea1b80d88be2486630ab9d3e254;2019;01;30
1f2d304431dcc4ae9ad21e0a62ee8d7878bb8776d8e114686582e73583be26cb;2019;02;05
b14c680c89c58a945aa9292c740fbfb3af77edefdb24ef42e13f150d01ba8d3e;2018;02;07
ceb5fd9f08071d88207796fbba9ce49bd1fe8779d547122973fdb2b3c61cd377;2017;05;17
8dcc411eaf83f049d68cf2c8db23abd843858cb0d18f8cde23092db57592f40e;2018;07;17
5445b80f664f9cf39694bb2646a34b5a65a86b0dcca97c715ed73ee5f85f946e;2019;01;24
622d87fed36e1c3e4a0da00993ce57562c3f3c32f84855e2825f84c4c9e21f8e;2017;08;18
59df0eb15d6199b16441a0ba8c827cb7c755324bf135fa0e33261524c2c73952;2017;08;11
5bfb29e1590fee2353541875af2a3f9a4f1faf0f098389caa6d2b4289e0ad4e9;2018;05;08
6395252b09d8da675720d271124374a5326d35333b7c683a758eca3d797a10da;2018;10;23
1052a108b5969b4178de50146daa2e1d12175cab7c0c5df2b437ae0578324d9a;2018;07;21
c20f2d48e1a6a55d751951099d7ff3a5b2bb92a2f84d8b93cc6120f82877d1d0;2017;11;03
a98069931ae3bc7bf844a37b1e2759d054081d7db5acde86574cc8bbc75c6b55;2018;10;13
ffeaa01ba37c3383f9ac217a77fe043be889806d7ea9a82f8fc16721de8dec6a;2017;03;29
8d1a8cf4bc5a764806911bc92b4bfd1d0712d42069f29ab7dca259fa122491de;2019;02;17
6cea9a55a9424e3005ac1c1b9b1853b7883462b72774c06d92fcf881fa6144fa;2017;01;28
769440e3f5cb7856a7e72035a1e337ea97987323775d18eaf4d22c397cbef46f;2017;07;26
dfb112963dfce17b3fabb1fc62c818a76cf930487a80ac0c6e260dca5faceed1;2017;10;14
5999022bc9e82e21c4785a05b5d57fe79bbd3831a13ea9439984cf097dc23e39;2018;06;30
950053e2de896a72c26aa7a46f8f1c693c7ac931405f032a3c1850d587e70723;2017;03;17
a25730234d0ea68caca54dabbaa2621ca867c099d2923e93d2ff00d0b7689731;2017;07;28
48f815c10a6d5f08983721401b1e1dae6ca0b5ef904813d3e87a7e18f643e537;2018;10;02
1fd178e7537c004cea197b6297780a835b783ca9ec6430068c6836ab3102c380;2017;11;02
2a75ae3faa1180fe145f71ac877444968284a3521f78eb0c9fbe603bd9770651;2018;01;16
e0be4e8a87b0248ff18ebcaf7c96cd4dc84e81508a7d756987c3f043679548a4;2017;06;25
7dac496faa63d717cc41382dac0c6a078790bbd2e1ebf0b9f69321fb3060d6d1;2018;12;24
68a786f94a6d34587ec8e525807fb1cbf36d7023414d058d12fdddc7dec646c3;2017;06;15
030ae331991d308392def778b1708be476a499b826c062064dd7240744a3ebbe;2018;12;08
c687b9c524d1ee59dd01b79afb31c37f1c2a4a07fc11aaaccebe38252279b22d;2018;09;09
13a807dbb39296b60af24b8958e2c6c2937ffd9d84aaa0f26a4c5cb3aa06de2f;2017;12;21
f261f84f7c56b9668f3001e4d6cc965640457092a800348f7d4c840fcbab1300;2018;05;09
beffc92ebb15e7d9596d6dc7156148334fe2d2b061c8cb24ed4181f2488de2f9;2018;08;25
5247da14b3a0017c6c3615612e7986f6781666fa9aba98e988c28d2146a92d6f;2018;12;09
5f1c8f337bb52b4691181753a274ee85b357014c64ca44caa89ce13af0a197a4;2018;06;05
4c097b0fef4d6e8f95c3da94533b41caf56356cd6a3807e40f6540ef5985b578;2017;05;13
f35ab7075127dfb2b88ded72809f3e163658318bc28227f0ad20bc3e6ffeccd2;2019;01;08
db71542d0c4120289d23421be938e3440cfd32f194dd76c0aa0e188f357a20fb;2017;03;10
f8cfede8459ab52948862976d9a1f6f684b6cc5647e122f24cf11261d92cf6f1;2018;12;29
4869b1caf73a7bf0b44737f33da052d29b65daa2b7f7846256868b1f191c0125;2019;01;23
a8b2b3bad286ea62a6161fff567910ff4ce66dcf998e8d4b6ae863576d02f1cf;2018;10;10
05162ad4ba6c483ea872714384d6cea648cb3618ee26ac408a2749492f4cb78c;2018;08;13
de0f19de3a80a6e684039716a246dc59fb099f4795eb4b2643d106a75b3dbc3f;2018;08;29
2ebdb7659408fa2fabea151a512149cb1c9a6a801ff9d31c54aa6506830ac9a5;2017;06;01
9b4b2fcf3111d1cb49f6c96a02b5d55b759cc0b528c456222825e708fd0e9277;2017;02;10
133bbc10b476d13897572859a92f0761cc495ebbbfbea41fc6bc33634c6374c9;2017;08;24
ca15363d94136740d188c06021b513f581760092ea30b2fd92818176f73d7f10;2018;10;22
e7b94ceb48c7267aed18648bac9ae38543c236c2cb47f623da66aad3478b28b0;2018;07;07
5ccdb3629268bcf4e9268a52bd789a79a722ce0415ac953366685f0393a4e1d9;2018;11;21
8791a8d9c921d432af3f06f5548203febe2722b266e0e212549ff2348580a976;2019;03;04
5ccd4cfa64be654a337fd7b0480946df013473550b9ee9f0191944822c6fe7b9;2018;06;19
23d62aa51fac92766560b82e521813a06e84ed9c679c990c92832b4f73054d37;2018;08;26
ead2eb19cd33f44878500b50ff32134c9fea579fb8475ce37cfa82db77040c37;2017;08;10
32b7de22c610f67a441c3c5a23feb6bcee950b2d0ca9f4149b34e3fb5e436906;2017;02;15
0c8cbddd52bfcc6e6f69ec15fe32392e4ec26f6ea651b331d38d80dbb980cfac;2018;11;04
738a75737a86db72fc6ffdb930ddac839c00bc35d052ad60dd7662d98eba2f1a;2018;08;22
1a8b3f668ace0275da29721b2ae7ff69dd0bbcb6760394d9f3b715b5d5482e50;2018;05;27
d3b21d114bd586fc7bb95298de4f422a06808e0c48c7c0c67d81dff584485959;2017;07;19
b8fbe9e15d4c2237c0785b04313736d10486a0d3d54b2e5ccd24faa8f620e223;2018;07;15
d6e09bc9c1c9f74575b422ab245bcf3ffb5f431773183634de832e1a4cf7d913;2018;05;21
9983df9d5a039275bc7a003a58388797448eedd09e830a77c66a4df3f593302d;2019;01;20
95d7b1238a853f9550d212f2d6ea3b77b8aedd13ffaea8d7ed5811dc03bfbcdd;2018;12;04
5709601dfa8d4b550084514f40fe57af86a1bd099232a8ac3c3019801fe5ac4b;2017;12;07
41e01b1dcd6f60aeabdb938ef08fd27814557aa01df268e7a3a8cb4ef9bf9d6f;2018;12;30
0ef86333988975b364195b25f6912c247251c6d6acc28f0ecc1cc69b71c70c50;2018;08;27
1e7b5f16035cfb0b00a3fc060940a99080d405b0b280e2da017c3f08cfa0de3d;2018;08;28
cdb466e3075b09ff0035d25e1832e2a96cbcaf7d24ac47fe2083f9dbeb239af6;2018;07;25
3855d6f13fb955ac2507955fdeec0c0a9d9dc03051b195aa45b61310f6995710;2018;04;15
dac01832ea0a7762dbcb99e73cbd66d037537cb0e0fc902aa239d51688f0ab9a;2018;02;27
8f980fe6000d8fedc2273057a186ddb95e7d77761909c0ca42f234a5e0e2b816;2017;03;09
4bc04cec59288c1a4cf81e3c1412401f3bb15742ba8911b342109c50779c6252;2018;10;27
9795f3882753fa20d419b5f2f066c9764673e2c510e721a2fdd9f59f817d8ce5;2018;04;29
93a20136933888096bf7d0fb02a8ed6b33c117137ff483411f2bab7d2e50dead;2017;10;19
a68b217b6d334ade7b1b4c3bad4c2815873f0cd42e00fd15a3ab8cef8735f7bd;2018;07;09
d07a7224851be59d768d94c69b0fff06016d227060eb62bff06a26f656f2ed65;2018;12;12
c87d77f0fc99d875f877abf937eb20005ffced7036923057272fd748a330432e;2018;02;01
bba30b32b36c2811a3bb814ff70f6138084ee4f8a4d8c0234fd1da30569e24b0;2017;09;27
aef5ba8092ef7f2c9e14b3fe77e3e75c95481a1f3b3e8ede1f9ec0ed7a5456dd;2018;12;02
3fe34957b7935633c7963187ffda3f4c1aa4adee2a03373746c7aa8fc533919f;2018;06;21
