DW_CLIENTES;DW_LOCALIDADE;DW_TEMPO;sum(sales_amount)
d9faa7746292da98a6348999d3fb63098e20adf5d4af3ebaf166650ab3ae4124;8e279eb14b721f079b1468bb2782004cb07bdf8b4adaefb9ba72884b76fd24a1;3855d6f13fb955ac2507955fdeec0c0a9d9dc03051b195aa45b61310f6995710;1314.2
d9faa7746292da98a6348999d3fb63098e20adf5d4af3ebaf166650ab3ae4124;8e279eb14b721f079b1468bb2782004cb07bdf8b4adaefb9ba72884b76fd24a1;4ed83519623f548b167169fc2ffe3d471c0ce7a40988ef311d315950ffedcc5f;352.05
cb73dcfca95b7ad05ec8f2b265d51c6bd5a8cbff78e8a7953fd4dbeae1ee3007;26997f67fb3cd5d3f2500525c36147a80488af26fa6a7f6aeced54c94a1ca530;2ee058a6e78801963654483d1e10358aaf5e4b861b86386479d276368239ed45;705.08
eb52eb13dab12f085db43a6ffe68db6a6724786f4fb13013362b66895f941a32;f56bf714485195e9fe2470773f0a109a93a647461e1cd5dce5cc684a3bf3e2fb;078e38d5f5d576813d6e9741e3ad8695deb47c197790312f7bf449eb78795642;3043.61
eb52eb13dab12f085db43a6ffe68db6a6724786f4fb13013362b66895f941a32;f56bf714485195e9fe2470773f0a109a93a647461e1cd5dce5cc684a3bf3e2fb;d61ccc2e15b5c143945aed54cba8e7d62c6001914f3c9bd6596eb85a9077587e;5000.3099999999995
824f5a653a5bd74338f989190054cb4ce855af4074faa6cd8fca03dd8363acfa;113ee61c87fdb9ead5d0319289e36d1f9284fafbe24a8816b75e084833e1c05c;4869b1caf73a7bf0b44737f33da052d29b65daa2b7f7846256868b1f191c0125;259.72
824f5a653a5bd74338f989190054cb4ce855af4074faa6cd8fca03dd8363acfa;113ee61c87fdb9ead5d0319289e36d1f9284fafbe24a8816b75e084833e1c05c;73241943115217bc08d118e76e9dd07c038830c3802e7dd9331d720ad81ad570;302.87
8b9e94585ef713175b0cf0fe6b74fb61877bd8bfc4ff2d2a952ce33eacce7fec;2442bc0dbf21ee316fa78b8ab23aad342bb06af8176d346616525a277deb4f18;5da5e748a4ea839921aeb570f231a2806308f5b1fee1bf86a710a7e048836fbf;4536.450000000001
cf279378201e794c2c8e82ed5e6c96ec3469eba26c8d4b0ab015cb32edf8e0da;549bf373467f78da209702dfa379f375963cdc9aaa5cd17299cf61ee47d7d425;61f189c964499b675690bae3d3be665ee45fd44e81ce68a61458206bdc390363;2122.19
2285ac7a6a813bfdf283d1c4d3f95a496c6e8e8a63438a3667ce3a83b28b2179;549bf373467f78da209702dfa379f375963cdc9aaa5cd17299cf61ee47d7d425;a5854e15a638b62c17cae6e89bd416b4cb773b6475143f4dba349bd5845f13f2;793.87
a73c9bc516245752eaa29bce006b172d9d5468f2b963192935d537d83ecd9b73;46d062117cac1940a008186558cd07084361876694524f797e1a22193e206d45;0ad0185a7b95d9085dbcf16a3efd1691ee84a36c76151f3ae2d61135d5fd1fd6;539200.0
76ead8178e158cc5879fc80e75ddffa5695ceb42a1c17b80d59edb8f15970706;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;c5fc00d950e15298aff93cf034b4b121644d3b44d8c7e4d818f62c362aa5c99a;506.0
cd1b43fb8425221246dbe521a26c970b7cee71cde24a2ab91510ca11abfbb36c;53472310ce9f56b26177b406b976879835b840b94cd246a9b5945bd0d1364825;0c8cbddd52bfcc6e6f69ec15fe32392e4ec26f6ea651b331d38d80dbb980cfac;219.8
db961a6a61998a3e694dd6f2598792f9eb010741430c90993c47d11143ceb92c;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;65fa4b63a07d201b3af0cbb7548ae668037f87a780b74b26fe105984937f73f4;6866.11
f71e8e0d65b69a05d2c4db057e7d4936941f18b93c0187453d784c971f1e1b70;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;f6284e1621fd0bd739f60a6af81208cb3d54908cd7ada0cf3e588ae47c80f4e8;46700.66
f71e8e0d65b69a05d2c4db057e7d4936941f18b93c0187453d784c971f1e1b70;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;05162ad4ba6c483ea872714384d6cea648cb3618ee26ac408a2749492f4cb78c;770.75
f216e9bfed1e97c18b08af9cff966cc6f173f6e764fb72b6e4cf2bae6da0511e;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;c182e64cc1a37e36fc7971ef6f418564a45dd59a21cf674f00cdfbf933ae2f16;209.18
c4da5a033a2f6aa09de25a5fe4fcbdc287ade1ccc5fda1a57da0bc3b11127941;3df243375458b83e7df81edcbd22c03b9e8335a796ba6318dea34657144f1ce1;022d6f64065eefd754fa8af9e9592ecad4c5aaa7a339099b4cb8ab16995cc78c;80488.34000000003
20c9dc06ced54cbe1c47eb3c2f5f94b39044405a64fe125e07834f0e5779b48e;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;b8b465c7ee81f28c859464887907d127e7ce492641e5cda5ac1570c5e5040c55;71586.83999999998
20c9dc06ced54cbe1c47eb3c2f5f94b39044405a64fe125e07834f0e5779b48e;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;f08b57bb9cca7043d471547968d1b7fb22490ed2acf7f5ae4618332a56ea850e;639.07
a7462a1ec10b588f00aad038ada1bbbab5d1b492dbe127d84706a78a163af4db;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;0657ee8890c1549319c7c50341b7f7ec28454ada9ca8d8538af9b8b5b0889cc5;606.31
b92e2526fe6559d362c2eac704536b255f00ad4b490cfd3cdca21c292d2a73b6;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;f08b57bb9cca7043d471547968d1b7fb22490ed2acf7f5ae4618332a56ea850e;243.42
36ec772fd889558100da1646054bbc36e591180e514512731f817ca061191fc3;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;769440e3f5cb7856a7e72035a1e337ea97987323775d18eaf4d22c397cbef46f;407.56
b192b253fa894624a5a2cffc7949b8d3a195bd957ab0671e81492507f1d20436;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;1fd178e7537c004cea197b6297780a835b783ca9ec6430068c6836ab3102c380;1569.95
58ce14eaf8b6c3fa8aea4ec32da5d4ce206ef311d5de41e1c7a7e1bd14373ac9;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;b2cf0b87233ac4ffc29330deaba0eb5eddcf17b129af3ce587dc921a3cc4c540;221.63
660cfd2c6260d783dc8a462c2da6252a472b365e3901397cc84c37fe88164498;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;c1054c566e226dcef61eeac745cdd61bb16807ef17beab9fa235d90aa8f338f6;48000.0
621bb2b5a5dd662b0fcf5255356ea8cb61225e11922e25a845ddb2470dd6e156;a87e1be0562486d151059634078f573fddeb0f9326c14d74af089881ec0969e5;0464fce9377149a1e02e317f97455d62e3840112db7713fc2dfe8954a2ea67b7;229.71
c9c1eae0b13254979c9a1f99cf158905c77094fc738f3cc210e884e011ec2e96;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;0bdb8ebe2d6f94f6ea3b79205c89b9132381488dffe36597b63f80ae5ffdb6f7;855.12
97cb5e464e71c9f455d815f8311fb4c574cdf3926490fdc2ad7108b6358c86d6;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;0bfbf151927ffea9f09d1a48a26fa84a2350003918bae31ed89771196f3cc991;378.06
3902690654b36a70782b62953e194e4a6561447010f84b9d3a53fed6d1435dab;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;bff673b24cfd33ae8ab7c0a1045b82dfc8b8f8ee1747db789a916485ad59bdf0;305801.57999999996
c5e99dc5c578159079bb3f67184783b0b138bfb7d96887e0ede61cc705f27edc;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;a091d90283eb5f8a974c990ae0d06eba3b74d0dab8f71aff05940a34e65bce2c;1411.46
e4ca88493b59f2c4a736707ec2b2e3214620e899ae3384e7d27457e8b5d33fe6;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;1702968622b15bae34e5d206f174f7778bf66f73d9a097080f8ea8728cf5b2dc;2157.0
30cf0745d3ca43c4bd0659cef70960ad4c967a30ef7f01baf3ab9f99cfe045da;93202df2ec7081b28b47901b5c287a5a14c64d3834d2dfef64e198ca948c3d6e;b40b8878d5d8f37df3f9eaecade11c7a3f39dac832eb38bfde1af49fc3447472;712.27
a7d0a288f52db0d46b1e155cec1d18be839c54a8a5efbdcee3d975de59cacb64;c943bf3df8112496c487d370899abd48da44cad08b5601ace61f6d3edc0ad877;db71542d0c4120289d23421be938e3440cfd32f194dd76c0aa0e188f357a20fb;240.6
ae22ee5b69422718aa2b2de762e6e277410720aed362fcc31154a4ce893e9deb;95a47bf8b9efb7f8cad32254c59c8608b399fd32446fb12f2cbea565bc2685ec;864176d967e443d248c38c8e7bc4601d0366fea1b80d88be2486630ab9d3e254;489.44
485acaee5dda488e2acd1db31fad9b91b250e1a6aec0923e472a26817235cd47;bb5aa736fa84ef785a9c570b3b5ac71f323c24b67f6688314a64d4b9dad55dbd;60240c33d42e9aa48fd791027ced492d0f21b823b4fb064e587263ff4463babe;10685.3
485acaee5dda488e2acd1db31fad9b91b250e1a6aec0923e472a26817235cd47;bb5aa736fa84ef785a9c570b3b5ac71f323c24b67f6688314a64d4b9dad55dbd;1cd5db918d300cb246c59bc74d811fa42942a002db75787c59db33f98a0f577b;1111.9099999999999
2e4e04c8edabb68ec5995a508f1ff0782f2ef4a74b177ec6545dc6906b20235c;53472310ce9f56b26177b406b976879835b840b94cd246a9b5945bd0d1364825;2d8ac689bfa1af6d6b6577689e222cfec5a321210c43a22387be99bb05e394e5;640.68
